LBRawID,SubmarineCable,BillMilestone,PartyName,WorkTitle,LBRatio,Note,CreateDate,ModifyNote,EndDate
11,SJC2,BM12,CHT,Construction,7.1428571429,,2023-03-20 14:29:12,,
12,SJC2,BM12,CMI,Construction,28.5714285714,,2023-03-20 14:29:12,,
13,SJC2,BM12,DHT,Construction,3.5714285714,,2023-03-20 14:29:12,,
14,SJC2,BM12,EDGE,Construction,28.5714285714,,2023-03-20 14:29:12,,
15,SJC2,BM12,KDDI,Construction,0.0793650794,,2023-03-20 14:29:12,,
16,SJC2,BM12,Singtel,Construction,7.0634920635,,2023-03-20 14:29:12,,
17,SJC2,BM12,SKB,Construction,7.1428571429,,2023-03-20 14:29:12,,
18,SJC2,BM12,Telin,Construction,3.5714285714,,2023-03-20 14:29:12,,
19,SJC2,BM12,TRUE,Construction,7.1428571429,,2023-03-20 14:29:12,,
20,SJC2,BM12,VNPT,Construction,7.1428571428,,2023-03-20 14:29:12,,
1,SJC2,BM9A,CHT,Construction,7.1428571429,,2023-03-20 11:14:36,,
2,SJC2,BM9A,CMI,Construction,28.5714285714,,2023-03-20 11:14:36,,
3,SJC2,BM9A,DHT,Construction,3.5714285714,,2023-03-20 11:14:36,,
4,SJC2,BM9A,EDGE,Construction,28.5714285714,,2023-03-20 11:14:36,,
5,SJC2,BM9A,KDDI,Construction,0.0793650794,,2023-03-20 11:14:36,,
6,SJC2,BM9A,Singtel,Construction,7.0634920635,,2023-03-20 11:14:36,,
7,SJC2,BM9A,SKB,Construction,7.1428571429,,2023-03-20 11:14:36,,
8,SJC2,BM9A,Telin,Construction,3.5714285714,,2023-03-20 11:14:36,,
9,SJC2,BM9A,TRUE,Construction,7.1428571429,,2023-03-20 11:14:36,,
10,SJC2,BM9A,VNPT,Construction,7.1428571428,,2023-03-20 11:14:36,,
